Postal Code,Borough,Latitude,Longitude
75001,Louvre,48.8592,2.3417
75002,Bourse,48.8655,2.3426
75003,Temple,48.8637,2.3615
75004,Hôtel-de-Ville,48.8601,2.3507
75005,Panthéon,48.8448,2.3471
75006,Luxembourg,48.8493,2.33
75007,Palais-Bourbon,48.8565,2.3209999999999997
75008,Élysée,48.8763,2.3183
75009,Opéra,48.8718,2.3399
75010,Entrepôt,48.8709,2.3561
75011,Popincourt,48.8574,2.3795
75012,Reuilly,48.8412,2.3876
75013,Gobelins,48.8322,2.3561
75014,Observatoire,48.8331,2.3264
75015,Vaugirard,48.8412,2.3003
75016,Passy,48.8637,2.2769
75017,Batignolles-Monceau,48.8835,2.3219
75018,Buttes-Montmartre,48.8925,2.3444
75019,Buttes-Chaumont,48.8817,2.3822
75020,Ménilmontant,48.8646,2.3984
75021 CEDEX 01,Louvre,48.8592,2.3417
75023 CEDEX 01,Louvre,48.8592,2.3417
75024 CEDEX 01,Louvre,48.8592,2.3417
75026 CEDEX 01,Louvre,48.8592,2.3417
75028 CEDEX 01,Louvre,48.8592,2.3417
75029 CEDEX 01,Louvre,48.8592,2.3417
75030 CEDEX 01,Louvre,48.8592,2.3417
75031 CEDEX 01,Louvre,48.8592,2.3417
75032 CEDEX 01,Louvre,48.8592,2.3417
75033 CEDEX 01,Louvre,48.8592,2.3417
75034 CEDEX 01,Louvre,48.8592,2.3417
75035 CEDEX 01,Louvre,48.8592,2.3417
75036 CEDEX 01,Louvre,48.8592,2.3417
75038 CEDEX 01,Louvre,48.8592,2.3417
75039 CEDEX 01,Louvre,48.8592,2.3417
75040 CEDEX 01,Louvre,48.8592,2.3417
75041 CEDEX 01,Louvre,48.8592,2.3417
75042 CEDEX 01,Louvre,48.8592,2.3417
75043 CEDEX 01,Louvre,48.8592,2.3417
75044 CEDEX 01,Louvre,48.8592,2.3417
75045 CEDEX 01,Louvre,48.8592,2.3417
75046 CEDEX 01,Louvre,48.8592,2.3417
75047 CEDEX 01,Louvre,48.8592,2.3417
75048 CEDEX 01,Louvre,48.8592,2.3417
75049 CEDEX 01,Louvre,48.8592,2.3417
75051 CEDEX 01,Louvre,48.8592,2.3417
75052 CEDEX 01,Louvre,48.8592,2.3417
75053 CEDEX 01,Louvre,48.8592,2.3417
75054 CEDEX 01,Louvre,48.8592,2.3417
75055 CEDEX 01,Louvre,48.8592,2.3417
75056 CEDEX 01,Louvre,48.8592,2.3417
75058 CEDEX 01,Louvre,48.8592,2.3417
75059 CEDEX 01,Louvre,48.8592,2.3417
75060 CEDEX 02,Bourse,48.8655,2.3426
75061 CEDEX 02,Bourse,48.8655,2.3426
75062 CEDEX 02,Bourse,48.8655,2.3426
75063 CEDEX 02,Bourse,48.8655,2.3426
75064 CEDEX 02,Bourse,48.8655,2.3426
75065 CEDEX 02,Bourse,48.8655,2.3426
75066 CEDEX 02,Bourse,48.8655,2.3426
75067 CEDEX 02,Bourse,48.8655,2.3426
75068 CEDEX 02,Bourse,48.8655,2.3426
75069 CEDEX 02,Bourse,48.8655,2.3426
75072 CEDEX 02,Bourse,48.8655,2.3426
75073 CEDEX 02,Bourse,48.8655,2.3426
75074 CEDEX 02,Bourse,48.8655,2.3426
75075 CEDEX 02,Bourse,48.8655,2.3426
75076 CEDEX 02,Bourse,48.8655,2.3426
75077 CEDEX 02,Bourse,48.8655,2.3426
75078 CEDEX 02,Bourse,48.8655,2.3426
75079 CEDEX 02,Bourse,48.8655,2.3426
75080 CEDEX 02,Bourse,48.8655,2.3426
75081 CEDEX 02,Bourse,48.8655,2.3426
75082 CEDEX 02,Bourse,48.8655,2.3426
75083 CEDEX 02,Bourse,48.8655,2.3426
75084 CEDEX 02,Bourse,48.8655,2.3426
75085 CEDEX 02,Bourse,48.8655,2.3426
75086 CEDEX 02,Bourse,48.8655,2.3426
75087 CEDEX 02,Bourse,48.8655,2.3426
75088 CEDEX 02,Bourse,48.8655,2.3426
75089 CEDEX 02,Bourse,48.8655,2.3426
75090 CEDEX 02,Bourse,48.8655,2.3426
75092 CEDEX 02,Bourse,48.8655,2.3426
75093 CEDEX 02,Bourse,48.8655,2.3426
75094 CEDEX 02,Bourse,48.8655,2.3426
75095 CEDEX 02,Bourse,48.8655,2.3426
75096 CEDEX 02,Bourse,48.8655,2.3426
75097 CEDEX 02,Bourse,48.8655,2.3426
75100 CEDEX 01,Louvre,48.8592,2.3417
75101 CEDEX 02,Bourse,48.8655,2.3426
75102 CEDEX 02,Bourse,48.8655,2.3426
75103 CEDEX 02,Bourse,48.8655,2.3426
75104 CEDEX 02,Bourse,48.8655,2.3426
75105 CEDEX 02,Bourse,48.8655,2.3426
75106 CEDEX 02,Bourse,48.8655,2.3426
75107 CEDEX 02,Bourse,48.8655,2.3426
75108 CEDEX 02,Bourse,48.8655,2.3426
75109 CEDEX 02,Bourse,48.8655,2.3426
75110 CEDEX 02,Bourse,48.8655,2.3426
75111 CEDEX 02,Bourse,48.8655,2.3426
75112 CEDEX 02,Bourse,48.8655,2.3426
75113 CEDEX 02,Bourse,48.8655,2.3426
75114 CEDEX 08,Élysée,48.8763,2.3183
75115 CEDEX 15,Vaugirard,48.8412,2.3003
75116,Passy,48.8637,2.2769
75118 CEDEX 02,Bourse,48.8655,2.3426
75119 CEDEX 02,Bourse,48.8655,2.3426
