PostalCode,Borough,Neighborhood,Latitude,Longitude
M3A,North York,Parkwoods,43.7532586,-79.3296565
M4A,North York,Victoria Village,43.725882299999995,-79.31557159999998
M5A,Downtown Toronto,Harbourfront,43.6542599,-79.3606359
M5A,Downtown Toronto,Regent Park,43.6542599,-79.3606359
M6A,North York,Lawrence Heights,43.718517999999996,-79.46476329999999
M6A,North York,Lawrence Manor,43.718517999999996,-79.46476329999999
M7A,Queen's Park,Queen's Park,43.6623015,-79.3894938
M9A,Etobicoke,Islington Avenue,43.6678556,-79.53224240000002
M1B,Scarborough,Rouge,43.806686299999996,-79.19435340000001
M1B,Scarborough,Malvern,43.806686299999996,-79.19435340000001
M3B,North York,Don Mills North,43.745905799999996,-79.352188
M4B,East York,Woodbine Gardens,43.7063972,-79.309937
M4B,East York,Parkview Hill,43.7063972,-79.309937
M5B,Downtown Toronto,Ryerson,43.6571618,-79.37893709999999
M5B,Downtown Toronto,Garden District,43.6571618,-79.37893709999999
M6B,North York,Glencairn,43.709577,-79.44507259999999
M9B,Etobicoke,Cloverdale,43.6509432,-79.55472440000001
M9B,Etobicoke,Islington,43.6509432,-79.55472440000001
M9B,Etobicoke,Martin Grove,43.6509432,-79.55472440000001
M9B,Etobicoke,Princess Gardens,43.6509432,-79.55472440000001
M9B,Etobicoke,West Deane Park,43.6509432,-79.55472440000001
M1C,Scarborough,Highland Creek,43.7845351,-79.16049709999999
M1C,Scarborough,Rouge Hill,43.7845351,-79.16049709999999
M1C,Scarborough,Port Union,43.7845351,-79.16049709999999
M3C,North York,Flemingdon Park,43.72589970000001,-79.340923
M3C,North York,Don Mills South,43.72589970000001,-79.340923
M4C,East York,Woodbine Heights,43.695343900000005,-79.3183887
M5C,Downtown Toronto,St. James Town,43.6514939,-79.3754179
M6C,York,Humewood-Cedarvale,43.6937813,-79.42819140000002
M9C,Etobicoke,Bloordale Gardens,43.6435152,-79.57720079999999
M9C,Etobicoke,Eringate,43.6435152,-79.57720079999999
M9C,Etobicoke,Markland Wood,43.6435152,-79.57720079999999
M9C,Etobicoke,Old Burnhamthorpe,43.6435152,-79.57720079999999
M1E,Scarborough,Guildwood,43.7635726,-79.1887115
M1E,Scarborough,Morningside,43.7635726,-79.1887115
M1E,Scarborough,West Hill,43.7635726,-79.1887115
M4E,East Toronto,The Beaches,43.67635739999999,-79.2930312
M5E,Downtown Toronto,Berczy Park,43.644770799999996,-79.3733064
M6E,York,Caledonia-Fairbanks,43.6890256,-79.453512
M1G,Scarborough,Woburn,43.7709921,-79.21691740000001
M4G,East York,Leaside,43.7090604,-79.3634517
M5G,Downtown Toronto,Central Bay Street,43.6579524,-79.3873826
M6G,Downtown Toronto,Christie,43.669542,-79.4225637
M1H,Scarborough,Cedarbrae,43.773136,-79.23947609999999
M2H,North York,Hillcrest Village,43.8037622,-79.3634517
M3H,North York,Bathurst Manor,43.7543283,-79.4422593
M3H,North York,Downsview North,43.7543283,-79.4422593
M3H,North York,Wilson Heights,43.7543283,-79.4422593
M4H,East York,Thorncliffe Park,43.7053689,-79.34937190000001
M5H,Downtown Toronto,Adelaide,43.65057120000001,-79.3845675
M5H,Downtown Toronto,King,43.65057120000001,-79.3845675
M5H,Downtown Toronto,Richmond,43.65057120000001,-79.3845675
M6H,West Toronto,Dovercourt Village,43.66900510000001,-79.4422593
M6H,West Toronto,Dufferin,43.66900510000001,-79.4422593
M1J,Scarborough,Scarborough Village,43.7447342,-79.23947609999999
M2J,North York,Fairview,43.7785175,-79.3465557
M2J,North York,Henry Farm,43.7785175,-79.3465557
M2J,North York,Oriole,43.7785175,-79.3465557
M3J,North York,Northwood Park,43.7679803,-79.48726190000001
M3J,North York,York University,43.7679803,-79.48726190000001
M4J,East York,East Toronto,43.685347,-79.3381065
M5J,Downtown Toronto,Harbourfront East,43.6408157,-79.38175229999999
M5J,Downtown Toronto,Toronto Islands,43.6408157,-79.38175229999999
M5J,Downtown Toronto,Union Station,43.6408157,-79.38175229999999
M6J,West Toronto,Little Portugal,43.647926700000006,-79.4197497
M6J,West Toronto,Trinity,43.647926700000006,-79.4197497
M1K,Scarborough,East Birchmount Park,43.7279292,-79.26202940000002
M1K,Scarborough,Ionview,43.7279292,-79.26202940000002
M1K,Scarborough,Kennedy Park,43.7279292,-79.26202940000002
M2K,North York,Bayview Village,43.7869473,-79.385975
M3K,North York,CFB Toronto,43.737473200000004,-79.46476329999999
M3K,North York,Downsview East,43.737473200000004,-79.46476329999999
M4K,East Toronto,The Danforth West,43.6795571,-79.352188
M4K,East Toronto,Riverdale,43.6795571,-79.352188
M5K,Downtown Toronto,Design Exchange,43.6471768,-79.38157640000001
M5K,Downtown Toronto,Toronto Dominion Centre,43.6471768,-79.38157640000001
M6K,West Toronto,Brockton,43.6368472,-79.42819140000002
M6K,West Toronto,Exhibition Place,43.6368472,-79.42819140000002
M6K,West Toronto,Parkdale Village,43.6368472,-79.42819140000002
M1L,Scarborough,Clairlea,43.711111700000004,-79.2845772
M1L,Scarborough,Golden Mile,43.711111700000004,-79.2845772
M1L,Scarborough,Oakridge,43.711111700000004,-79.2845772
M2L,North York,Silver Hills,43.7574902,-79.37471409999999
M2L,North York,York Mills,43.7574902,-79.37471409999999
M3L,North York,Downsview West,43.7390146,-79.5069436
M4L,East Toronto,The Beaches West,43.6689985,-79.31557159999998
M4L,East Toronto,India Bazaar,43.6689985,-79.31557159999998
M5L,Downtown Toronto,Commerce Court,43.6481985,-79.37981690000001
M5L,Downtown Toronto,Victoria Hotel,43.6481985,-79.37981690000001
M6L,North York,Maple Leaf Park,43.713756200000006,-79.4900738
M6L,North York,North Park,43.713756200000006,-79.4900738
M6L,North York,Upwood Park,43.713756200000006,-79.4900738
M9L,North York,Humber Summit,43.7563033,-79.56596329999999
M1M,Scarborough,Cliffcrest,43.716316,-79.23947609999999
M1M,Scarborough,Cliffside,43.716316,-79.23947609999999
M1M,Scarborough,Scarborough Village West,43.716316,-79.23947609999999
M2M,North York,Newtonbrook,43.789053,-79.40849279999999
M2M,North York,Willowdale,43.789053,-79.40849279999999
M3M,North York,Downsview Central,43.7284964,-79.49569740000001
M4M,East Toronto,Studio District,43.6595255,-79.340923
M5M,North York,Bedford Park,43.7332825,-79.4197497
M5M,North York,Lawrence Manor East,43.7332825,-79.4197497
M6M,York,Del Ray,43.6911158,-79.47601329999999
M6M,York,Keelesdale,43.6911158,-79.47601329999999
M6M,York,Mount Dennis,43.6911158,-79.47601329999999
M6M,York,Silverthorn,43.6911158,-79.47601329999999
M9M,North York,Emery,43.7247659,-79.53224240000002
M9M,North York,Humberlea,43.7247659,-79.53224240000002
M1N,Scarborough,Birch Cliff,43.692657000000004,-79.2648481
M1N,Scarborough,Cliffside West,43.692657000000004,-79.2648481
M2N,North York,Willowdale South,43.7701199,-79.40849279999999
M3N,North York,Downsview Northwest,43.7616313,-79.52099940000001
M4N,Central Toronto,Lawrence Park,43.7280205,-79.3887901
M5N,Central Toronto,Roselawn,43.7116948,-79.41693559999999
M6N,York,The Junction North,43.67318529999999,-79.48726190000001
M6N,York,Runnymede,43.67318529999999,-79.48726190000001
M9N,York,Weston,43.706876,-79.51818840000001
M1P,Scarborough,Dorset Park,43.7574096,-79.27330400000001
M1P,Scarborough,Scarborough Town Centre,43.7574096,-79.27330400000001
M1P,Scarborough,Wexford Heights,43.7574096,-79.27330400000001
M2P,North York,York Mills West,43.752758299999996,-79.4000493
M4P,Central Toronto,Davisville North,43.7127511,-79.3901975
M5P,Central Toronto,Forest Hill North,43.6969476,-79.41130720000001
M5P,Central Toronto,Forest Hill West,43.6969476,-79.41130720000001
M6P,West Toronto,High Park,43.6616083,-79.46476329999999
M6P,West Toronto,The Junction South,43.6616083,-79.46476329999999
M9P,Etobicoke,Westmount,43.696319,-79.53224240000002
M1R,Scarborough,Maryvale,43.750071500000004,-79.2958491
M1R,Scarborough,Wexford,43.750071500000004,-79.2958491
M2R,North York,Willowdale West,43.7827364,-79.4422593
